// jMWE MWE Description Data File
// Generated on Sat May 07 16:35:12 EDT 2011
// Wordnet version 3.0
// Semcor version 1.6
// Compatible with jMWE 1.0.0 
'_hi-im_J 1,0,0,0,0
'd_better_V 1,0,5,0,0
's_about_it_O 1,0,0,0,0
's_ass_N 1,0,0,0,0
's_got_V 1,0,6,0,0
's_gravenhage_N 0,0,0,0,0
's_last_tape_N 1,0,0,0,0
's_neck_V 1,0,2,0,0
's_ride_V 1,0,0,0,0
's_spots_N 1,0,0,0,0
'tween_decks_R 0,0,0,0,0
-_a_O 1,0,62,0,2
.1_(_1953_O 1,0,0,0,0
.22_caliber_J 0,0,0,0,0
.22_calibre_J 0,0,0,0,0
.38_caliber_J 0,0,0,0,0
.38_calibre_J 0,0,0,0,0
.45_caliber_J 0,0,0,0,0
.45_calibre_J 0,0,0,0,0
11_november_N 0,0,0,0,0
12-tone_music_N 0,0,0,0,0
12-tone_system_N 0,0,0,0,0
14_july_N 0,0,0,0,0
15_august_1945_N 0,0,0,0,0
15_may_organization_N 0,0,0,0,0
15_minutes_N 8,0,0,0,0
15_th_J 7,0,0,0,0
16_pf_N 0,0,0,0,0
17_:_07_O 1,0,0,0,0
17_november_N 0,0,0,0,0
17_th_J 1,0,0,0,0
18-karat_gold_N 0,0,0,0,0
1897_-_8_O 1,0,0,0,0
18_th_J 1,0,0,0,0
1928_-_29_O 1,0,0,0,0
19_th_J 3,0,1,0,0
1_,_-_a_O 3,0,1,0,0
1_-_1_2_O 1,0,1,0,0
1_2_J 4,0,12,0,0
1_2_O 2,0,14,0,0
1_4_O 3,0,0,0,0
1_chronicles_N 0,0,0,0,0
1_esdras_N 0,0,0,0,0
1_kings_N 0,0,0,0,0
1_maccabees_N 0,0,0,0,0
1_samuel_N 0,0,0,0,0
1st-class_mail_N 0,0,0,0,0
1st_baron_beaverbrook_N 0,0,0,0,0
1st_baron_verulam_N 0,0,0,0,0
1st_class_N 0,0,0,0,0
1st_earl_attlee_N 0,0,0,0,0
1st_earl_baldwin_of_bewdley_N 0,0,0,0,0
1st_earl_of_balfour_N 0,0,0,0,0
1st_lieutenant_N 0,0,0,0,0
1st_viscount_montgomery_of_alamein_N 0,0,0,0,0
2-hydroxybenzoic_acid_N 0,0,0,0,0
2-methylpropenoic_acid_N 0,0,0,0,0
20_th_J 3,0,2,0,0
22-karat_gold_N 0,0,0,0,0
23_:_30_O 1,0,0,0,0
24-hour_interval_N 0,0,0,0,0
24-karat_gold_N 0,0,0,0,0
269_f._2_d_613_O 1,0,0,0,0
2_-_1_2_O 1,0,0,0,0
2_baser_N 1,0,0,0,0
2_chronicles_N 0,0,0,0,0
2_d_J 1,0,1,0,0
2_esdras_N 0,0,0,0,0
2_kings_N 0,0,0,0,0
2_maccabees_N 0,0,0,0,0
